Time,NodeId,X,Y,Z
3.3,0,-22.0657,4.50878e-13,7363.39
3.3,1,-4353.92,3.6396e-13,5941.38
3.3,2,111.314,0,-6355.8
3.3,3,78.711,78.711,-6355.8
3.3,1000,-111.314,-0.0242849,-6355.79
3.4,0,-22.0657,4.50878e-13,7363.39
3.4,1,-4353.92,3.6396e-13,5941.38
3.4,2,111.314,0,-6355.8
3.4,3,78.711,78.711,-6355.8
3.4,1000,-111.314,-0.0242849,-6355.79
3.5,0,-22.0657,4.50878e-13,7363.39
3.5,1,-4353.92,3.6396e-13,5941.38
3.5,2,111.314,0,-6355.8
3.5,3,78.711,78.711,-6355.8
3.5,1000,-111.314,-0.0242849,-6355.79
3.6,0,-22.0657,4.50878e-13,7363.39
3.6,1,-4353.92,3.6396e-13,5941.38
3.6,2,111.314,0,-6355.8
3.6,3,78.711,78.711,-6355.8
3.6,1000,-111.314,-0.0242849,-6355.79
3.7,0,-22.0657,4.50878e-13,7363.39
3.7,1,-4353.92,3.6396e-13,5941.38
3.7,2,111.314,0,-6355.8
3.7,3,78.711,78.711,-6355.8
3.7,1000,-111.314,-0.0242849,-6355.79
3.8,0,-22.0657,4.50878e-13,7363.39
3.8,1,-4353.92,3.6396e-13,5941.38
3.8,2,111.314,0,-6355.8
3.8,3,78.711,78.711,-6355.8
3.8,1000,-111.314,-0.0242849,-6355.79
3.9,0,-22.0657,4.50878e-13,7363.39
3.9,1,-4353.92,3.6396e-13,5941.38
3.9,2,111.314,0,-6355.8
3.9,3,78.711,78.711,-6355.8
3.9,1000,-111.314,-0.0242849,-6355.79
4,0,-22.0657,4.50878e-13,7363.39
4,1,-4353.92,3.6396e-13,5941.38
4,2,111.314,0,-6355.8
4,3,78.711,78.711,-6355.8
4,1000,-111.314,-0.0242849,-6355.79
4.1,0,-29.4209,4.50876e-13,7363.36
4.1,1,-4359.86,3.63695e-13,5937.03
4.1,2,111.314,0,-6355.8
4.1,3,78.711,78.711,-6355.8
4.1,1000,-111.314,-0.0323799,-6355.79
4.2,0,-29.4209,4.50876e-13,7363.36
4.2,1,-4359.86,3.63695e-13,5937.03
4.2,2,111.314,0,-6355.8
4.2,3,78.711,78.711,-6355.8
4.2,1000,-111.314,-0.0323799,-6355.79
4.3,0,-29.4209,4.50876e-13,7363.36
4.3,1,-4359.86,3.63695e-13,5937.03
4.3,2,111.314,0,-6355.8
4.3,3,78.711,78.711,-6355.8
4.3,1000,-111.314,-0.0323799,-6355.79
4.4,0,-29.4209,4.50876e-13,7363.36
4.4,1,-4359.86,3.63695e-13,5937.03
4.4,2,111.314,0,-6355.8
4.4,3,78.711,78.711,-6355.8
4.4,1000,-111.314,-0.0323799,-6355.79
4.5,0,-29.4209,4.50876e-13,7363.36
4.5,1,-4359.86,3.63695e-13,5937.03
4.5,2,111.314,0,-6355.8
4.5,3,78.711,78.711,-6355.8
4.5,1000,-111.314,-0.0323799,-6355.79
4.6,0,-29.4209,4.50876e-13,7363.36
4.6,1,-4359.86,3.63695e-13,5937.03
4.6,2,111.314,0,-6355.8
4.6,3,78.711,78.711,-6355.8
4.6,1000,-111.314,-0.0323799,-6355.79
4.7,0,-29.4209,4.50876e-13,7363.36
4.7,1,-4359.86,3.63695e-13,5937.03
4.7,2,111.314,0,-6355.8
4.7,3,78.711,78.711,-6355.8
4.7,1000,-111.314,-0.0323799,-6355.79
4.8,0,-29.4209,4.50876e-13,7363.36
4.8,1,-4359.86,3.63695e-13,5937.03
4.8,2,111.314,0,-6355.8
4.8,3,78.711,78.711,-6355.8
4.8,1000,-111.314,-0.0323799,-6355.79
4.9,0,-29.4209,4.50876e-13,7363.36
4.9,1,-4359.86,3.63695e-13,5937.03
4.9,2,111.314,0,-6355.8
4.9,3,78.711,78.711,-6355.8
4.9,1000,-111.314,-0.0323799,-6355.79
5,0,-29.4209,4.50876e-13,7363.36
5,1,-4359.86,3.63695e-13,5937.03
5,2,111.314,0,-6355.8
5,3,78.711,78.711,-6355.8
5,1000,-111.314,-0.0323799,-6355.79
5.1,0,-36.7761,4.50874e-13,7363.33
5.1,1,-4365.79,3.63429e-13,5932.68
5.1,2,111.314,0,-6355.8
5.1,3,78.711,78.711,-6355.8
5.1,1000,-111.314,-0.0404749,-6355.79
5.2,0,-36.7761,4.50874e-13,7363.33
5.2,1,-4365.79,3.63429e-13,5932.68
5.2,2,111.314,0,-6355.8
5.2,3,78.711,78.711,-6355.8
5.2,1000,-111.314,-0.0404749,-6355.79
5.3,0,-36.7761,4.50874e-13,7363.33
5.3,1,-4365.79,3.63429e-13,5932.68
5.3,2,111.314,0,-6355.8
5.3,3,78.711,78.711,-6355.8
5.3,1000,-111.314,-0.0404749,-6355.79
5.4,0,-36.7761,4.50874e-13,7363.33
5.4,1,-4365.79,3.63429e-13,5932.68
5.4,2,111.314,0,-6355.8
5.4,3,78.711,78.711,-6355.8
5.4,1000,-111.314,-0.0404749,-6355.79
5.5,0,-36.7761,4.50874e-13,7363.33
5.5,1,-4365.79,3.63429e-13,5932.68
5.5,2,111.314,0,-6355.8
5.5,3,78.711,78.711,-6355.8
5.5,1000,-111.314,-0.0404749,-6355.79
5.6,0,-36.7761,4.50874e-13,7363.33
5.6,1,-4365.79,3.63429e-13,5932.68
5.6,2,111.314,0,-6355.8
5.6,3,78.711,78.711,-6355.8
5.6,1000,-111.314,-0.0404749,-6355.79
5.7,0,-36.7761,4.50874e-13,7363.33
5.7,1,-4365.79,3.63429e-13,5932.68
5.7,2,111.314,0,-6355.8
5.7,3,78.711,78.711,-6355.8
5.7,1000,-111.314,-0.0404749,-6355.79
5.8,0,-36.7761,4.50874e-13,7363.33
5.8,1,-4365.79,3.63429e-13,5932.68
5.8,2,111.314,0,-6355.8
5.8,3,78.711,78.711,-6355.8
5.8,1000,-111.314,-0.0404749,-6355.79
5.9,0,-36.7761,4.50874e-13,7363.33
5.9,1,-4365.79,3.63429e-13,5932.68
5.9,2,111.314,0,-6355.8
5.9,3,78.711,78.711,-6355.8
5.9,1000,-111.314,-0.0404749,-6355.79
6,0,-36.7761,4.50874e-13,7363.33
6,1,-4365.79,3.63429e-13,5932.68
6,2,111.314,0,-6355.8
6,3,78.711,78.711,-6355.8
6,1000,-111.314,-0.0404749,-6355.79
6.1,0,-44.1312,4.50871e-13,7363.29
6.1,1,-4371.71,3.63163e-13,5928.33
6.1,2,111.314,0,-6355.8
6.1,3,78.711,78.711,-6355.8
6.1,1000,-111.314,-0.0485698,-6355.79
6.2,0,-44.1312,4.50871e-13,7363.29
6.2,1,-4371.71,3.63163e-13,5928.33
6.2,2,111.314,0,-6355.8
6.2,3,78.711,78.711,-6355.8
6.2,1000,-111.314,-0.0485698,-6355.79
6.3,0,-44.1312,4.50871e-13,7363.29
6.3,1,-4371.71,3.63163e-13,5928.33
6.3,2,111.314,0,-6355.8
6.3,3,78.711,78.711,-6355.8
6.3,1000,-111.314,-0.0485698,-6355.79
6.4,0,-44.1312,4.50871e-13,7363.29
6.4,1,-4371.71,3.63163e-13,5928.33
6.4,2,111.314,0,-6355.8
6.4,3,78.711,78.711,-6355.8
6.4,1000,-111.314,-0.0485698,-6355.79
6.5,0,-44.1312,4.50871e-13,7363.29
6.5,1,-4371.71,3.63163e-13,5928.33
6.5,2,111.314,0,-6355.8
6.5,3,78.711,78.711,-6355.8
6.5,1000,-111.314,-0.0485698,-6355.79
6.6,0,-44.1312,4.50871e-13,7363.29
6.6,1,-4371.71,3.63163e-13,5928.33
6.6,2,111.314,0,-6355.8
6.6,3,78.711,78.711,-6355.8
6.6,1000,-111.314,-0.0485698,-6355.79
6.7,0,-44.1312,4.50871e-13,7363.29
6.7,1,-4371.71,3.63163e-13,5928.33
6.7,2,111.314,0,-6355.8
6.7,3,78.711,78.711,-6355.8
6.7,1000,-111.314,-0.0485698,-6355.79
6.8,0,-44.1312,4.50871e-13,7363.29
6.8,1,-4371.71,3.63163e-13,5928.33
6.8,2,111.314,0,-6355.8
6.8,3,78.711,78.711,-6355.8
6.8,1000,-111.314,-0.0485698,-6355.79
6.9,0,-44.1312,4.50871e-13,7363.29
6.9,1,-4371.71,3.63163e-13,5928.33
6.9,2,111.314,0,-6355.8
6.9,3,78.711,78.711,-6355.8
6.9,1000,-111.314,-0.0485698,-6355.79
7,0,-44.1312,4.50871e-13,7363.29
7,1,-4371.71,3.63163e-13,5928.33
7,2,111.314,0,-6355.8
7,3,78.711,78.711,-6355.8
7,1000,-111.314,-0.0485698,-6355.79
7.1,0,-51.4863,4.50869e-13,7363.24
7.1,1,-4377.64,3.62896e-13,5923.96
7.1,2,111.314,0,-6355.8
7.1,3,78.711,78.711,-6355.8
7.1,1000,-111.314,-0.0566648,-6355.79
7.2,0,-51.4863,4.50869e-13,7363.24
7.2,1,-4377.64,3.62896e-13,5923.96
7.2,2,111.314,0,-6355.8
7.2,3,78.711,78.711,-6355.8
7.2,1000,-111.314,-0.0566648,-6355.79
7.3,0,-51.4863,4.50869e-13,7363.24
7.3,1,-4377.64,3.62896e-13,5923.96
7.3,2,111.314,0,-6355.8
7.3,3,78.711,78.711,-6355.8
7.3,1000,-111.314,-0.0566648,-6355.79
7.4,0,-51.4863,4.50869e-13,7363.24
7.4,1,-4377.64,3.62896e-13,5923.96
7.4,2,111.314,0,-6355.8
7.4,3,78.711,78.711,-6355.8
7.4,1000,-111.314,-0.0566648,-6355.79
7.5,0,-51.4863,4.50869e-13,7363.24
7.5,1,-4377.64,3.62896e-13,5923.96
7.5,2,111.314,0,-6355.8
7.5,3,78.711,78.711,-6355.8
7.5,1000,-111.314,-0.0566648,-6355.79
7.6,0,-51.4863,4.50869e-13,7363.24
7.6,1,-4377.64,3.62896e-13,5923.96
7.6,2,111.314,0,-6355.8
7.6,3,78.711,78.711,-6355.8
7.6,1000,-111.314,-0.0566648,-6355.79
7.7,0,-51.4863,4.50869e-13,7363.24
7.7,1,-4377.64,3.62896e-13,5923.96
7.7,2,111.314,0,-6355.8
7.7,3,78.711,78.711,-6355.8
7.7,1000,-111.314,-0.0566648,-6355.79
7.8,0,-51.4863,4.50869e-13,7363.24
7.8,1,-4377.64,3.62896e-13,5923.96
7.8,2,111.314,0,-6355.8
7.8,3,78.711,78.711,-6355.8
7.8,1000,-111.314,-0.0566648,-6355.79
7.9,0,-51.4863,4.50869e-13,7363.24
7.9,1,-4377.64,3.62896e-13,5923.96
7.9,2,111.314,0,-6355.8
7.9,3,78.711,78.711,-6355.8
7.9,1000,-111.314,-0.0566648,-6355.79
8,0,-51.4863,4.50869e-13,7363.24
8,1,-4377.64,3.62896e-13,5923.96
8,2,111.314,0,-6355.8
8,3,78.711,78.711,-6355.8
8,1000,-111.314,-0.0566648,-6355.79
8.1,0,-58.8413,4.50865e-13,7363.19
8.1,1,-4383.55,3.62629e-13,5919.59
8.1,2,111.314,0,-6355.8
8.1,3,78.711,78.711,-6355.8
8.1,1000,-111.314,-0.0647598,-6355.79
8.2,0,-58.8413,4.50865e-13,7363.19
8.2,1,-4383.55,3.62629e-13,5919.59
8.2,2,111.314,0,-6355.8
8.2,3,78.711,78.711,-6355.8
8.2,1000,-111.314,-0.0647598,-6355.79
8.3,0,-58.8413,4.50865e-13,7363.19
8.3,1,-4383.55,3.62629e-13,5919.59
8.3,2,111.314,0,-6355.8
8.3,3,78.711,78.711,-6355.8
8.3,1000,-111.314,-0.0647598,-6355.79
8.4,0,-58.8413,4.50865e-13,7363.19
8.4,1,-4383.55,3.62629e-13,5919.59
8.4,2,111.314,0,-6355.8
8.4,3,78.711,78.711,-6355.8
8.4,1000,-111.314,-0.0647598,-6355.79
8.5,0,-58.8413,4.50865e-13,7363.19
8.5,1,-4383.55,3.62629e-13,5919.59
8.5,2,111.314,0,-6355.8
8.5,3,78.711,78.711,-6355.8
8.5,1000,-111.314,-0.0647598,-6355.79
8.6,0,-58.8413,4.50865e-13,7363.19
8.6,1,-4383.55,3.62629e-13,5919.59
8.6,2,111.314,0,-6355.8
8.6,3,78.711,78.711,-6355.8
8.6,1000,-111.314,-0.0647598,-6355.79
8.7,0,-58.8413,4.50865e-13,7363.19
8.7,1,-4383.55,3.62629e-13,5919.59
8.7,2,111.314,0,-6355.8
8.7,3,78.711,78.711,-6355.8
8.7,1000,-111.314,-0.0647598,-6355.79
8.8,0,-58.8413,4.50865e-13,7363.19
8.8,1,-4383.55,3.62629e-13,5919.59
8.8,2,111.314,0,-6355.8
8.8,3,78.711,78.711,-6355.8
8.8,1000,-111.314,-0.0647598,-6355.79
8.9,0,-58.8413,4.50865e-13,7363.19
8.9,1,-4383.55,3.62629e-13,5919.59
8.9,2,111.314,0,-6355.8
8.9,3,78.711,78.711,-6355.8
8.9,1000,-111.314,-0.0647598,-6355.79
9,0,-58.8413,4.50865e-13,7363.19
9,1,-4383.55,3.62629e-13,5919.59
9,2,111.314,0,-6355.8
9,3,78.711,78.711,-6355.8
9,1000,-111.314,-0.0647598,-6355.79
9.1,0,-66.1963,4.50861e-13,7363.12
9.1,1,-4389.47,3.62362e-13,5915.22
9.1,2,111.314,0,-6355.8
9.1,3,78.711,78.711,-6355.8
9.1,1000,-111.314,-0.0728547,-6355.79
9.2,0,-66.1963,4.50861e-13,7363.12
9.2,1,-4389.47,3.62362e-13,5915.22
9.2,2,111.314,0,-6355.8
9.2,3,78.711,78.711,-6355.8
9.2,1000,-111.314,-0.0728547,-6355.79
9.3,0,-66.1963,4.50861e-13,7363.12
9.3,1,-4389.47,3.62362e-13,5915.22
9.3,2,111.314,0,-6355.8
9.3,3,78.711,78.711,-6355.8
9.3,1000,-111.314,-0.0728547,-6355.79
9.4,0,-66.1963,4.50861e-13,7363.12
9.4,1,-4389.47,3.62362e-13,5915.22
9.4,2,111.314,0,-6355.8
9.4,3,78.711,78.711,-6355.8
9.4,1000,-111.314,-0.0728547,-6355.79
9.5,0,-66.1963,4.50861e-13,7363.12
9.5,1,-4389.47,3.62362e-13,5915.22
9.5,2,111.314,0,-6355.8
9.5,3,78.711,78.711,-6355.8
9.5,1000,-111.314,-0.0728547,-6355.79
9.6,0,-66.1963,4.50861e-13,7363.12
9.6,1,-4389.47,3.62362e-13,5915.22
9.6,2,111.314,0,-6355.8
9.6,3,78.711,78.711,-6355.8
9.6,1000,-111.314,-0.0728547,-6355.79
9.7,0,-66.1963,4.50861e-13,7363.12
9.7,1,-4389.47,3.62362e-13,5915.22
9.7,2,111.314,0,-6355.8
9.7,3,78.711,78.711,-6355.8
9.7,1000,-111.314,-0.0728547,-6355.79
9.8,0,-66.1963,4.50861e-13,7363.12
9.8,1,-4389.47,3.62362e-13,5915.22
9.8,2,111.314,0,-6355.8
9.8,3,78.711,78.711,-6355.8
9.8,1000,-111.314,-0.0728547,-6355.79
9.9,0,-66.1963,4.50861e-13,7363.12
9.9,1,-4389.47,3.62362e-13,5915.22
9.9,2,111.314,0,-6355.8
9.9,3,78.711,78.711,-6355.8
9.9,1000,-111.314,-0.0728547,-6355.79
